video_id,video_title,url,transcript_available,review_reason
I_9cCCLW34I,The Next Big Crisis - and when it begins,https://www.youtube.com/watch?v=I_9cCCLW34I,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
ff-0y670tYI,Why the Rich Keep Getting Richer,https://www.youtube.com/watch?v=ff-0y670tYI,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
YAwg5V95dQA,The Market Does the Same Thing After Every Midterm.,https://www.youtube.com/watch?v=YAwg5V95dQA,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
s5fYUyUGsZk,The Real Reason Nobody Can Afford to Leave Home,https://www.youtube.com/watch?v=s5fYUyUGsZk,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
QgFU1fgDH5A,The Great Rotation Just Started,https://www.youtube.com/watch?v=QgFU1fgDH5A,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
6lj8dU-YYTE,The Real Reason the Rich Always Tell You Money Doesn't Matter,https://www.youtube.com/watch?v=6lj8dU-YYTE,false,No rule match; inspect context before assigning a financial theme or marking as non-financial
GDOy9d24auI,The Real Reason the Market is Ripping Higher,https://www.youtube.com/watch?v=GDOy9d24auI,false,No rule match; inspect context before assigning a financial theme or marking as non-financial
kEeMac0c5c8,The 1973 Playbook is Happening Again,https://www.youtube.com/watch?v=kEeMac0c5c8,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
ZVKovC9OSFo,Everything is Crashing - When Will it Bottom?,https://www.youtube.com/watch?v=ZVKovC9OSFo,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
smgnu7s_CWw,This is What it Looks Like Right Before a Crash,https://www.youtube.com/watch?v=smgnu7s_CWw,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
4ZZJuDZ_wr4,A Declaration of Independence,https://www.youtube.com/watch?v=4ZZJuDZ_wr4,true,No rule match; inspect context before assigning a financial theme or marking as non-financial
